pdbid,-logKd/Ki,set
3zzf,0.4,general
3gww,0.45,general
1w8l,0.49,general
3fqa,0.49,general
1zsb,0.6,general
4obv,0.75,general
1wkm,0.82,general
3k41,0.82,general
4eu3,0.82,general
2w97,0.96,general
1p0y,1.0,general
2b1r,1.0,general
2d2v,1.0,general
2a31,1.01,general
1aw1,1.05,general
1maw,1.1,general
3fl9,1.11,general
4lh2,1.24,general
4to8,1.24,general
4fci,1.26,general
4fck,1.26,general
4clp,1.27,general
1f9g,1.28,general
1a0t,1.3,general
1b74,1.3,general
2fah,1.3,general
2igw,1.31,general
2vl1,1.35,general
3nm6,1.35,general
1qpb,1.36,general
1hty,1.4,general
1o4l,1.4,general
1o4m,1.4,general
1o4n,1.4,general
2hdq,1.4,general
3eor,1.4,general
3e81,1.43,general
1ozv,1.44,general
1utp,1.44,general
1tnk,1.49,general
4bh4,1.49,general
4lh3,1.52,general
5ct1,1.52,general
3mwe,1.54,general
4amw,1.55,general
1iig,1.57,general
3rup,1.57,general
5cs5,1.58,general
2b1q,1.59,general
1w8m,1.6,general
3itc,1.6,general
2it4,1.62,general
1a7t,1.64,general
4d63,1.64,general
1hgj,1.66,general
1rdj,1.66,general
2o9r,1.68,general
4qsw,1.68,general
2sfp,1.7,general
3gf2,1.7,general
3oay,1.7,general
4tyb,1.7,general
3g6m,1.71,general
2hdr,1.72,general
3ern,1.72,general
3vzg,1.72,general
3zst,1.72,general
1u2y,1.74,general
4qsx,1.74,general
4bgx,1.77,general
3f39,1.78,general
2zgm,1.79,general
1ga8,1.8,general
3rxh,1.8,general
1af6,1.82,general
1bra,1.82,general
1d5r,1.82,general
1y1m,1.82,general
3eqb,1.82,general
4ahv,1.82,general
1rdn,1.84,general
1fd7,1.85,general
3khv,1.85,general
1tnl,1.88,general
2ay2,1.88,general
4x8s,1.89,general
1f2p,1.9,general
4mrh,1.9,general
1f2o,1.91,general
1efi,1.92,general
3ehn,1.92,general
4bh3,1.92,general
2rjr,1.94,general
4mrf,1.95,general
1tnj,1.96,general
2gga,1.96,general
1wdq,1.98,general
3i3d,1.99,general
1gbt,2.0,general
1ing,2.0,general
2bmv,2.0,general
2hds,2.0,general
2r58,2.0,refined
3c2f,2.0,refined
3g2y,2.0,refined
3pce,2.0,refined
3rv3,2.0,general
4awj,2.0,general
4ctk,2.0,general
4kz5,2.0,general
4qsu,2.0,refined
4qsv,2.0,refined
4u58,2.0,general
4ty8,2.03,general
2ks9,2.04,general
1jfh,2.05,refined
4e4a,2.05,general
4ty9,2.05,general
4x8t,2.05,general
1qq9,2.06,general
1rdi,2.06,general
2zg3,2.06,general
4u54,2.06,refined
3ao4,2.07,core
4b0c,2.07,general
3rxp,2.08,general
1njj,2.1,general
2zg1,2.1,general
4aml,2.1,general
4cs9,2.1,refined
3uf9,2.11,general
1qx1,2.12,general
2w8w,2.12,refined
3gv9,2.12,core
1p2g,2.13,general
1uxb,2.15,general
3rxg,2.15,general
4b0j,2.15,general
4q90,2.15,refined
5cs3,2.15,refined
2ay9,2.16,general
4tim,2.16,refined
3gqz,2.17,refined
3l7d,2.18,refined
4ahr,2.19,refined
4ahs,2.19,refined
4amx,2.19,general
4jdf,2.19,general
4mre,2.19,refined
1w1v,2.2,general
2vvo,2.2,general
4eh8,2.2,general
1x8d,2.21,refined
4g0z,2.21,refined
1icj,2.22,general
1m0n,2.22,refined
2aac,2.22,refined
4aci,2.22,refined
4uru,2.22,general
4ury,2.22,refined
4x11,2.22,refined
1ajp,2.23,refined
2igv,2.23,refined
3ao5,2.23,refined
3i3b,2.23,refined
1rdl,2.24,general
2ay8,2.24,general
2os9,2.24,general
1ukt,2.25,general
1ew8,2.26,refined
3ao1,2.26,refined
4eh9,2.26,general
4np2,2.26,refined
1hge,2.27,general
1uto,2.27,core
4ahu,2.27,refined
4mfe,2.27,general
1ps3,2.28,core
2rjs,2.28,general
3fu0,2.28,general
3ip8,2.28,refined
2ay1,2.29,general
4ddk,2.29,core
4ehv,2.29,general
1hyv,2.3,general
1inh,2.3,general
1jdj,2.3,general
1n1g,2.3,general
1o4g,2.3,general
1uxa,2.3,general
1w1p,2.3,general
2ay7,2.3,general
2hdu,2.3,general
2xix,2.3,general
2xlc,2.3,general
3dyo,2.3,refined
3kgq,2.3,refined
3mhw,2.3,refined
3pcg,2.3,refined
3rv4,2.3,refined
4b6e,2.3,general
4e3d,2.3,general
4g0y,2.3,refined
4jsz,2.3,core
4led,2.3,general
4wh7,2.3,general
1m0o,2.31,refined
4y0a,2.31,refined
2qve,2.32,general
5aol,2.32,refined
1z6d,2.34,general
4iie,2.34,refined
1qi0,2.35,general
3gtc,2.35,refined
4k3k,2.35,general
1o4j,2.36,general
3g2z,2.36,core
3t0d,2.37,refined
4jck,2.37,general
6rnt,2.37,refined
3f6e,2.38,refined
4aj2,2.38,general
1f73,2.39,refined
1nwl,2.39,refined
4nyt,2.39,general
4tya,2.39,general
2wi1,2.4,general
3dxg,2.4,core
3l7b,2.4,core
3pcb,2.4,general
3t2t,2.4,general
4u5l,2.4,general
4zsm,2.4,general
1o4r,2.41,general
2wsx,2.41,general
4u5s,2.41,refined
4u5o,2.42,refined
1o4h,2.44,general
1oba,2.44,refined
1t4s,2.44,general
2i2b,2.44,refined
2xiy,2.44,general
3ked,2.44,general
3l7c,2.44,refined
3mjl,2.44,refined
4d62,2.44,general
1gbq,2.46,general
1o4o,2.46,general
2aez,2.46,general
3l79,2.46,refined
4ah9,2.46,general
4ddm,2.46,refined
4eh6,2.46,general
4x8u,2.46,refined
1tok,2.47,refined
1utl,2.47,refined
3rik,2.47,general
4gne,2.47,general
1gyx,2.48,refined
4u5n,2.48,refined
1o4q,2.49,general
4efk,2.49,refined
4ej2,2.49,general
4kz7,2.49,refined
1ai4,2.5,refined
3g30,2.51,refined
4ctj,2.51,general
1rq2,2.52,general
1wdr,2.52,general
3ad7,2.52,general
3bf1,2.52,refined
3fq7,2.52,general
3gr2,2.52,core
3mfv,2.52,refined
3vdb,2.52,refined
4e3f,2.52,general
4g0q,2.52,refined
4urz,2.52,refined
4hj2,2.53,refined
1iup,2.54,general
1il3,2.55,general
1kf0,2.55,general
3b3s,2.55,refined
3ovn,2.55,refined
1gwv,2.57,refined
2ria,2.57,general
2wq4,2.57,general
3kgp,2.57,core
2ay5,2.59,general
2jst,2.59,general
3gvb,2.59,refined
4o3a,2.59,general
4o3c,2.59,refined
4wef,2.59,general
1o4p,2.6,general
2c4v,2.6,general
2r5a,2.6,refined
3gwv,2.6,general
3rxf,2.6,general
4up5,2.6,refined
1cze,2.62,general
1w1y,2.62,general
2kfh,2.62,general
3f37,2.62,refined
3f38,2.62,general
3fk1,2.62,refined
3rxl,2.62,general
4lnf,2.62,general
4lno,2.62,general
1ajn,2.63,refined
1g5f,2.64,general
1o4i,2.64,general
3p1d,2.64,general
4i8x,2.64,refined
4q7w,2.64,refined
4q8y,2.64,refined
4ufl,2.64,refined
1il5,2.66,general
3a1e,2.66,refined
3rxb,2.66,general
4y2p,2.66,general
3lvw,2.67,refined
1hgi,2.68,general
1o8b,2.68,general
2q72,2.68,general
3rxk,2.68,general
4b3c,2.68,refined
4b3d,2.68,refined
3elc,2.69,refined
4usw,2.69,general
1br5,2.7,general
1gym,2.7,general
1lt5,2.7,general
1tc1,2.7,general
1ylv,2.7,general
2fzc,2.7,refined
2ha4,2.7,general
2krd,2.7,general
2ohk,2.7,general
2ow6,2.7,general
2uyn,2.7,refined
3bra,2.7,refined
3ftz,2.7,general
3fud,2.7,general
3fuf,2.7,general
3fuh,2.7,general
3gk2,2.7,general
3gsg,2.7,general
3hvg,2.7,general
3rqw,2.7,general
3sl0,2.7,general
3zsw,2.7,general
3zsz,2.7,general
3zt1,2.7,general
4h4b,2.7,general
4okp,2.7,general
4old,2.7,general
4wks,2.7,general
4ypf,2.7,general
4yrc,2.7,general
4yrg,2.7,general
4yrr,2.7,general
5aok,2.7,general
4kpz,2.71,general
1pfu,2.72,refined
2rkd,2.72,refined
3p4r,2.72,general
1dg9,2.74,general
2qwb,2.74,refined
2vyt,2.74,refined
4m6u,2.74,refined
4ndu,2.74,refined
1rql,2.75,refined
1ny2,2.76,general
4bt5,2.76,refined
2bet,2.77,refined
2p3o,2.77,general
3fcq,2.77,core
3l0n,2.77,general
4a4h,2.77,general
4g5y,2.77,general
4kz3,2.77,refined
4urv,2.77,general
4ykk,2.77,refined
2yiv,2.78,general
3ftw,2.78,general
4yrt,2.78,general
2bge,2.8,general
2bza,2.8,refined
3zt4,2.8,general
4kz8,2.8,general
4urw,2.8,general
4yw2,2.8,general
3djx,2.81,refined
4eh4,2.81,general
4oyt,2.81,general
4rrg,2.81,refined
1czc,2.82,general
1p17,2.82,general
2a3a,2.82,general
2rib,2.82,general
2w6z,2.82,general
2xj0,2.82,general
2yc0,2.82,general
3fue,2.82,general
3lka,2.82,core
3ppr,2.82,refined
4dsu,2.82,refined
4k7i,2.82,refined
4pb1,2.82,general
4z46,2.82,general
4yz5,2.83,general
3fu3,2.84,general
3moh,2.84,refined
3zt2,2.84,core
4cgj,2.84,general
1il4,2.85,general
2a29,2.85,general
2ork,2.85,general
3atk,2.85,general
3k3g,2.85,general
3rxa,2.85,general
3udh,2.85,core
4luv,2.85,general
4mlt,2.85,general
4x47,2.85,general
4ym2,2.85,general
3qx8,2.86,refined
3zt3,2.86,refined
4ouj,2.86,refined
4pd5,2.86,general
4fgz,2.87,general
1e34,2.88,general
2woq,2.88,general
4a4f,2.88,general
4ucv,2.88,general
1cet,2.89,refined
1iih,2.89,refined
1ugp,2.89,refined
2k2r,2.89,general
2wpb,2.89,general
2wtx,2.89,general
3f36,2.89,general
3g31,2.89,core
4b35,2.89,refined
4cd8,2.89,general
4gqq,2.89,refined
4kzb,2.89,refined
4llx,2.89,core
4u5u,2.89,general
4urx,2.89,general
5aes,2.89,general
3c2u,2.9,refined
5aom,2.9,general
1ms0,2.91,general
2ay4,2.91,general
2pri,2.91,general
4kc1,2.91,general
1eef,2.92,general
1h2k,2.92,refined
1o4k,2.92,general
1p6e,2.92,general
1zp5,2.92,general
2aa9,2.92,general
2aay,2.92,general
2fkf,2.92,general
2fw6,2.92,refined
2fwp,2.92,general
2kfg,2.92,general
3alt,2.92,refined
3iaf,2.92,general
3k8c,2.92,refined
4ai5,2.92,refined
4ef6,2.92,refined
4lm3,2.92,refined
4u4s,2.92,core
4x14,2.92,general
4y2q,2.92,refined
5c0k,2.92,general
5ct2,2.92,refined
1tng,2.93,refined
3ftv,2.93,general
1p6d,2.94,general
2vmc,2.94,refined
4y62,2.95,general
1f4e,2.96,refined
1w1t,2.96,general
1ykp,2.96,general
2br6,2.96,general
2kdh,2.96,general
2w8j,2.96,refined
3dhv,2.96,refined
3g34,2.96,refined
3imc,2.96,refined
3img,2.96,general
4bgy,2.96,general
4dst,2.96,refined
4k3l,2.96,general
4mrg,2.96,refined
4owm,2.96,core
2hw2,2.97,refined
4ceb,2.97,refined
2rnw,2.98,general
3ckb,2.98,refined
3djq,2.98,refined
4ibc,2.98,refined
5aba,2.98,core
3ump,2.99,general
4a4g,2.99,general
4bps,2.99,refined
1ecq,3.0,refined
1hqg,3.0,general
1mcz,3.0,general
1ux7,3.0,general
1w7h,3.0,general
1wbg,3.0,general
1wbo,3.0,general
1ws4,3.0,refined
1yc5,3.0,general
1z9h,3.0,general
1zm7,3.0,general
2f1b,3.0,general
2h2e,3.0,general
2q8h,3.0,refined
2r0y,3.0,general
2rka,3.0,refined
2v3u,3.0,refined
2vin,3.0,general
2vtm,3.0,general
2wa3,3.0,general
2xgm,3.0,general
2xgo,3.0,general
2xp3,3.0,general
2ych,3.0,general
3ap7,3.0,general
3d9o,3.0,general
3eka,3.0,general
3grj,3.0,general
3ime,3.0,refined
3nf8,3.0,general
3nk8,3.0,general
3ob0,3.0,general
4b2i,3.0,refined
4fe9,3.0,general
4k0o,3.0,refined
4k5z,3.0,general
4k64,3.0,general
4k72,3.0,general
4l51,3.0,refined
4l5j,3.0,general
4lkh,3.0,general
4llk,3.0,refined
4m5r,3.0,general
4o7d,3.0,general
4oyp,3.0,general
4oz2,3.0,general
4r3w,3.0,refined
4txs,3.0,general
4u0w,3.0,refined
4wh9,3.0,general
5a5o,3.0,general
5c7b,3.0,general
1g42,3.01,general
1utm,3.01,refined
4g0p,3.01,refined
2vmd,3.02,refined
3dc2,3.02,general
3fuk,3.02,general
4q81,3.02,refined
4xm8,3.02,general
1ogd,3.03,refined
1ws5,3.03,general
2ggu,3.03,general
2ha3,3.03,refined
3adv,3.03,refined
3esj,3.03,general
4lm2,3.03,refined
4qp2,3.03,refined
5aoi,3.03,refined
1rtf,3.04,refined
2pcu,3.04,general
3ay0,3.04,general
3t08,3.04,refined
3t1m,3.04,refined
3zvv,3.04,general
4i7k,3.04,refined
4lm4,3.04,refined
1f74,3.05,refined
1gvk,3.05,general
1gzg,3.05,general
1o41,3.05,general
1pum,3.05,general
1uj5,3.05,refined
1uj6,3.05,refined
2ohl,3.05,general
2vcw,3.05,general
4g5f,3.05,refined
4guj,3.05,general
4u5v,3.05,general
5abe,3.05,general
2jfh,3.06,refined
2ksa,3.06,general
3atm,3.06,general
3hw1,3.06,general
3rxi,3.06,general
3rxj,3.06,general
4csy,3.06,general
4nyi,3.06,general
1rnm,3.07,refined
1s26,3.07,general
3mof,3.07,refined
4yrs,3.07,general
1hiy,3.08,general
1y1z,3.08,refined
4yv1,3.08,general
1mdl,3.09,general
1ugw,3.09,general
4eh5,3.09,general
1a5v,3.1,general
1af2,3.1,general
1ec9,3.1,refined
1pu7,3.1,general
1pu8,3.1,general
1swi,3.1,general
2xdl,3.1,core
3buf,3.1,refined
3f78,3.1,refined
3mo8,3.1,general
4cjr,3.1,refined
4j79,3.1,general
4kz6,3.1,core
4pxf,3.1,general
4y2j,3.1,general
4y64,3.1,general
1k2i,3.11,general
1uod,3.11,general
2ay6,3.11,general
2lto,3.11,general
2lwi,3.11,general
3c2r,3.11,refined
3msj,3.11,general
4aj1,3.11,general
4ajk,3.11,general
4d52,3.11,general
4gbz,3.11,general
4wf4,3.11,general
1h9l,3.12,general
2ksb,3.12,general
4bt3,3.12,refined
4cgi,3.12,refined
4uct,3.12,general
1ax0,3.13,refined
3kac,3.13,general
5c5t,3.13,refined
2f1a,3.14,general
2ya7,3.14,refined
3odk,3.14,general
4b34,3.14,refined
1e6q,3.15,refined
1eei,3.15,general
1k9q,3.15,general
1noi,3.15,general
1noj,3.15,general
1nok,3.15,general
1rin,3.15,general
2fr8,3.15,general
2p8n,3.15,general
3cgy,3.15,general
3e73,3.15,general
4de5,3.15,refined
4fzj,3.15,refined
4lw1,3.15,refined
4x0z,3.15,general
2ymd,3.16,core
3ad8,3.16,general
3ecn,3.16,general
3f34,3.16,refined
3f35,3.16,general
3kpu,3.16,general
3lk0,3.16,general
4eh2,3.16,general
4hnc,3.17,general
4uce,3.17,general
4x3i,3.17,general
1b9s,3.18,general
1lbk,3.18,refined
1ro7,3.18,refined
2wik,3.18,general
3at1,3.18,general
3bug,3.18,refined
3kid,3.18,general
1o6i,3.19,general
2zdx,3.19,general
3dxh,3.19,refined
3g1v,3.19,refined
4gzx,3.19,refined
4mlx,3.19,general
1axz,3.2,general
2w0x,3.2,general
2wij,3.2,general
3kab,3.2,general
4elc,3.2,general
4nrm,3.2,general
5d9p,3.2,general
1s5z,3.21,refined
3fty,3.21,general
6tim,3.21,general
1br6,3.22,refined
1e6s,3.22,refined
1e72,3.22,general
1evh,3.22,general
1ew9,3.22,refined
1k1y,3.22,refined
1q5l,3.22,general
1qwu,3.22,general
1tog,3.22,refined
1x6u,3.22,general
1zc9,3.22,refined
2bv4,3.22,general
2ri9,3.22,refined
2uy3,3.22,refined
3aru,3.22,core
3i8t,3.22,general
4n5d,3.22,refined
4tyl,3.22,general
1px4,3.23,refined
2gmk,3.23,general
3zsy,3.23,refined
4kc4,3.23,general
4lm1,3.23,refined
4unp,3.23,refined
1gx4,3.24,general
2r8q,3.24,general
3qfz,3.24,refined
4b2l,3.24,refined
4k60,3.24,general
4luo,3.24,general
4qlk,3.24,refined
4y2u,3.24,general
1v2j,3.25,refined
3ta1,3.25,refined
4lm0,3.25,refined
1l5s,3.26,general
3t1l,3.26,refined
4egh,3.26,general
4k66,3.26,general
4wkt,3.26,general
5yas,3.26,refined
1axr,3.27,general
3ioe,3.27,refined
4jbl,3.27,general
1bcu,3.28,core
1g9t,3.28,general
1x07,3.28,general
2xgs,3.28,general
3d52,3.28,refined
3ms4,3.28,general
3tfu,3.28,refined
3zsx,3.28,core
4eh7,3.28,general
4fl1,3.28,refined
4yv0,3.28,general
1ax1,3.29,general
4f20,3.29,general
1d7j,3.3,refined
1k9r,3.3,general
1lt6,3.3,general
1o4e,3.3,general
1phw,3.3,refined
1tpw,3.3,refined
1zd2,3.3,general
1zd3,3.3,general
2aq7,3.3,general
2aqb,3.3,general
2hd1,3.3,general
2uxx,3.3,general
2vw2,3.3,refined
2w0s,3.3,general
2xml,3.3,general
3aaq,3.3,refined
3avg,3.3,general
3avh,3.3,general
3avi,3.3,general
3avj,3.3,general
3avk,3.3,general
3avm,3.3,general
3avn,3.3,general
3ch9,3.3,general
3gv6,3.3,general
3h2c,3.3,general
3hcm,3.3,refined
3i90,3.3,general
