4isu Affinity: -6.64957 (kcal/mol)
4b2i Affinity: -4.88848 (kcal/mol)
4m7j Affinity: -10.25761 (kcal/mol)
2jdp Affinity: -6.83187 (kcal/mol)
4bi7 Affinity: -5.18750 (kcal/mol)
5u4d Affinity: -5.11409 (kcal/mol)
2qi3 Affinity: -9.27236 (kcal/mol)
2i4d Affinity: -10.01780 (kcal/mol)
5ya5 Affinity: -9.37905 (kcal/mol)
4gr8 Affinity: -9.15055 (kcal/mol)
5fdi Affinity: -5.36222 (kcal/mol)
4gkm Affinity: -7.82981 (kcal/mol)
4q3u Affinity: -6.21920 (kcal/mol)
3f19 Affinity: -5.56090 (kcal/mol)
2gzl Affinity: -11.68060 (kcal/mol)
5n9r Affinity: -13.29146 (kcal/mol)
5nya Affinity: -5.88850 (kcal/mol)
2bqv Affinity: -11.25525 (kcal/mol)
1sqo Affinity: -8.51350 (kcal/mol)
1f73 Affinity: -7.02185 (kcal/mol)
4trc Affinity: -4.83317 (kcal/mol)
1tmn Affinity: -7.43273 (kcal/mol)
4x6n Affinity: -12.99243 (kcal/mol)
1g45 Affinity: -5.42412 (kcal/mol)
3d4z Affinity: -6.97415 (kcal/mol)
5k1f Affinity: -6.32455 (kcal/mol)
4gbd Affinity: -9.19629 (kcal/mol)
1hyo Affinity: -6.72729 (kcal/mol)
3qfd Affinity: -9.96860 (kcal/mol)
3s76 Affinity: -4.68526 (kcal/mol)
1hdq Affinity: -7.87175 (kcal/mol)
5nk7 Affinity: -11.00932 (kcal/mol)
2hb3 Affinity: -11.05414 (kcal/mol)
2qci Affinity: -4.79442 (kcal/mol)
3t3u Affinity: -10.87043 (kcal/mol)
1cny Affinity: -4.69178 (kcal/mol)
1ppl Affinity: -8.87717 (kcal/mol)
2j7e Affinity: -8.03769 (kcal/mol)
1vfn Affinity: -5.64086 (kcal/mol)
1pgp Affinity: -5.87517 (kcal/mol)
1uho Affinity: -8.78864 (kcal/mol)
5l4m Affinity: -4.77324 (kcal/mol)
3mdz Affinity: -5.37989 (kcal/mol)
1d7j Affinity: -3.14191 (kcal/mol)
5dqf Affinity: -6.42136 (kcal/mol)
5lvl Affinity: -7.95556 (kcal/mol)
5ngz Affinity: -3.73333 (kcal/mol)
5twj Affinity: -8.93410 (kcal/mol)
4xiq Affinity: -13.20595 (kcal/mol)
2yfx Affinity: -8.69689 (kcal/mol)
3ip8 Affinity: -5.36573 (kcal/mol)
4wkn Affinity: -9.25245 (kcal/mol)
5eei Affinity: -6.63314 (kcal/mol)
5ayt Affinity: -8.38960 (kcal/mol)
3ozj Affinity: -6.46605 (kcal/mol)
3ifl Affinity: -9.42852 (kcal/mol)
5aol Affinity: -6.93434 (kcal/mol)
5jg1 Affinity: -11.53595 (kcal/mol)
2xyt Affinity: -7.86843 (kcal/mol)
4ad2 Affinity: -8.96147 (kcal/mol)
5dit Affinity: -8.03360 (kcal/mol)
3sio Affinity: -10.26435 (kcal/mol)
5vr8 Affinity: -12.53377 (kcal/mol)
5d3l Affinity: -8.07302 (kcal/mol)
4ufk Affinity: -5.76391 (kcal/mol)
6b96 Affinity: -10.99792 (kcal/mol)
4eor Affinity: -9.38437 (kcal/mol)
3tza Affinity: -8.71058 (kcal/mol)
1zog Affinity: -5.57208 (kcal/mol)
4q4p Affinity: -8.63160 (kcal/mol)
5uv2 Affinity: -7.11961 (kcal/mol)
4xty Affinity: -14.13150 (kcal/mol)
4bam Affinity: -11.28050 (kcal/mol)
4hy1 Affinity: -10.61559 (kcal/mol)
2f81 Affinity: -8.58287 (kcal/mol)
4lm3 Affinity: -5.84312 (kcal/mol)
5upz Affinity: -11.47380 (kcal/mol)
5vsf Affinity: -8.37227 (kcal/mol)
3tvc Affinity: -9.88196 (kcal/mol)
5igm Affinity: -8.92183 (kcal/mol)
4wa9 Affinity: -11.28329 (kcal/mol)
3sue Affinity: -10.66775 (kcal/mol)
1qaw Affinity: -8.40899 (kcal/mol)
4kiu Affinity: -8.95660 (kcal/mol)
4pfu Affinity: -11.67280 (kcal/mol)
6gg4 Affinity: -6.21036 (kcal/mol)
2fu8 Affinity: -3.63588 (kcal/mol)
5eh5 Affinity: -5.63589 (kcal/mol)
3gk1 Affinity: -3.79875 (kcal/mol)
1sv3 Affinity: -4.73996 (kcal/mol)
4z1e Affinity: -6.83940 (kcal/mol)
1m4h Affinity: -9.37665 (kcal/mol)
6h5x Affinity: -9.98443 (kcal/mol)
1alw Affinity: -4.08753 (kcal/mol)
1i37 Affinity: -10.75815 (kcal/mol)
1jys Affinity: -4.54939 (kcal/mol)
1nfx Affinity: -10.17672 (kcal/mol)
2zx8 Affinity: -8.70247 (kcal/mol)
5ty9 Affinity: -7.08950 (kcal/mol)
1oss Affinity: -5.69938 (kcal/mol)
5ia1 Affinity: -9.64438 (kcal/mol)
5dwr Affinity: -12.09294 (kcal/mol)
5ev8 Affinity: -2.35101 (kcal/mol)
4fai Affinity: -5.45051 (kcal/mol)
4tun Affinity: 0.22520 (kcal/mol)
4i54 Affinity: -9.46627 (kcal/mol)
4b74 Affinity: -9.37946 (kcal/mol)
2bfq Affinity: -14.38679 (kcal/mol)
5h85 Affinity: -8.12742 (kcal/mol)
4cga Affinity: -9.76716 (kcal/mol)
1odj Affinity: -9.20511 (kcal/mol)
3nzk Affinity: -9.80983 (kcal/mol)
4m2w Affinity: -6.11921 (kcal/mol)
4cwt Affinity: -12.83306 (kcal/mol)
3ag9 Affinity: -6.24879 (kcal/mol)
5nw1 Affinity: -9.91312 (kcal/mol)
5sz6 Affinity: -7.09176 (kcal/mol)
5fsy Affinity: -12.98644 (kcal/mol)
2c94 Affinity: -10.95181 (kcal/mol)
4wov Affinity: -8.18794 (kcal/mol)
4xir Affinity: -12.15193 (kcal/mol)
3kr4 Affinity: -7.81745 (kcal/mol)
4s1g Affinity: -11.62556 (kcal/mol)
4np3 Affinity: -7.11196 (kcal/mol)
5j3l Affinity: -7.59105 (kcal/mol)
4pp3 Affinity: -11.96874 (kcal/mol)
6exj Affinity: -6.85481 (kcal/mol)
2b9a Affinity: -4.93731 (kcal/mol)
4k0y Affinity: -11.20976 (kcal/mol)
5mmg Affinity: -8.77122 (kcal/mol)
4bf1 Affinity: -8.54059 (kcal/mol)
5i2f Affinity: -5.98934 (kcal/mol)
4q0k Affinity: -12.30805 (kcal/mol)
3r1v Affinity: -6.81726 (kcal/mol)
3t8v Affinity: -8.44301 (kcal/mol)
2ojj Affinity: -10.39356 (kcal/mol)
4gzx Affinity: -6.90118 (kcal/mol)
4ibe Affinity: -7.13324 (kcal/mol)
6eog Affinity: -9.56275 (kcal/mol)
4e5w Affinity: -11.88248 (kcal/mol)
5exl Affinity: -11.01989 (kcal/mol)
1b46 Affinity: -10.46334 (kcal/mol)
4iwz Affinity: -7.29162 (kcal/mol)
4gid Affinity: -12.01907 (kcal/mol)
3iw6 Affinity: -7.77143 (kcal/mol)
1n46 Affinity: -11.32599 (kcal/mol)
5i3y Affinity: -11.71423 (kcal/mol)
2wkz Affinity: -12.73741 (kcal/mol)
3cyw Affinity: -8.63403 (kcal/mol)
4ty7 Affinity: -12.61679 (kcal/mol)
6fs1 Affinity: -12.19928 (kcal/mol)
1fm9 Affinity: -11.07512 (kcal/mol)
1i9p Affinity: -4.83798 (kcal/mol)
6b4n Affinity: -10.31620 (kcal/mol)
3uew Affinity: -5.04195 (kcal/mol)
3ivc Affinity: -8.40223 (kcal/mol)
4fz3 Affinity: -5.74574 (kcal/mol)
3qgy Affinity: -6.72902 (kcal/mol)
4cp7 Affinity: -6.58981 (kcal/mol)
3d7k Affinity: -11.00282 (kcal/mol)
5d3c Affinity: -10.31128 (kcal/mol)
3cl0 Affinity: -7.25614 (kcal/mol)
2j4i Affinity: -8.63956 (kcal/mol)
2pq9 Affinity: -11.96004 (kcal/mol)
5tya Affinity: -5.59195 (kcal/mol)
1v2u Affinity: -6.25692 (kcal/mol)
6b7a Affinity: -5.36549 (kcal/mol)
5ewy Affinity: -8.64678 (kcal/mol)
6eis Affinity: -11.52627 (kcal/mol)
3aaq Affinity: -8.93101 (kcal/mol)
1ucn Affinity: -7.24294 (kcal/mol)
1e1v Affinity: -6.17626 (kcal/mol)
1b2h Affinity: -9.53899 (kcal/mol)
2pow Affinity: -7.58951 (kcal/mol)
4gah Affinity: -7.00960 (kcal/mol)
