1tmn Affinity: -6.61799 (kcal/mol)
1vfn Affinity: -4.62380 (kcal/mol)
1d7j Affinity: -2.87430 (kcal/mol)
1sv3 Affinity: -4.00090 (kcal/mol)
1jys Affinity: -4.15534 (kcal/mol)
1re8 Affinity: -12.76194 (kcal/mol)
1e1v Affinity: -5.90784 (kcal/mol)
1pbq Affinity: -7.94967 (kcal/mol)
1v2o Affinity: -5.24042 (kcal/mol)
2bak Affinity: -10.36506 (kcal/mol)
1fh7 Affinity: -7.05837 (kcal/mol)
1det Affinity: -6.07779 (kcal/mol)
1kv5 Affinity: -3.07223 (kcal/mol)
1toj Affinity: -5.36526 (kcal/mol)
1olu Affinity: -8.92833 (kcal/mol)
1nja Affinity: -7.50157 (kcal/mol)
2drc Affinity: -7.67425 (kcal/mol)
1nhu Affinity: -6.03077 (kcal/mol)
1utp Affinity: -3.47515 (kcal/mol)
1ndw Affinity: -6.26927 (kcal/mol)
1f5k Affinity: -5.19414 (kcal/mol)
6rnt Affinity: -4.54030 (kcal/mol)
2g5u Affinity: -7.74027 (kcal/mol)
1pr5 Affinity: -7.09307 (kcal/mol)
4tmn Affinity: -8.11314 (kcal/mol)
2fzc Affinity: -4.35585 (kcal/mol)
1p1q Affinity: -5.48053 (kcal/mol)
2flb Affinity: -7.25077 (kcal/mol)
1tsy Affinity: -7.48245 (kcal/mol)
2b7d Affinity: -8.84847 (kcal/mol)
2h3e Affinity: -9.46053 (kcal/mol)
2cgr Affinity: -8.12242 (kcal/mol)
4tln Affinity: -2.27160 (kcal/mol)
2gss Affinity: -4.87474 (kcal/mol)
10gs Affinity: -6.83153 (kcal/mol)
1avn Affinity: -1.32755 (kcal/mol)
1fh9 Affinity: -7.60163 (kcal/mol)
1a1b Affinity: -4.66653 (kcal/mol)
8cpa Affinity: -5.57299 (kcal/mol)
2g8r Affinity: -4.33388 (kcal/mol)
1f4f Affinity: -6.93735 (kcal/mol)
3gss Affinity: -6.37107 (kcal/mol)
1h23 Affinity: -9.66675 (kcal/mol)
1g7q Affinity: -7.31182 (kcal/mol)
1m0n Affinity: -7.78817 (kcal/mol)
1k4g Affinity: -7.17418 (kcal/mol)
1pb9 Affinity: -5.01313 (kcal/mol)
1jqd Affinity: -7.22914 (kcal/mol)
1bra Affinity: -4.99558 (kcal/mol)
1ndz Affinity: -7.34960 (kcal/mol)
3pch Affinity: -3.77104 (kcal/mol)
2qwd Affinity: -5.78167 (kcal/mol)
2fai Affinity: -8.43247 (kcal/mol)
6std Affinity: -9.49383 (kcal/mol)
2c02 Affinity: -6.23503 (kcal/mol)
1mq6 Affinity: -9.30094 (kcal/mol)
